id,h,place,e,n
1703,黄石,大冶,114.97,30.1
1704,十堰,十堰,110.78,32.65
1712,十堰,丹江口,111.52,32.55
1713,宜昌,宜昌,111.28,30.7
1724,宜昌,宜都,111.45,30.4
1725,宜昌,当阳,111.78,30.82
1726,宜昌,枝江,111.77,30.43
1727,襄樊,襄樊,112.15,32.02
1734,襄樊,老河口,111.67,32.38
1735,襄樊,枣阳,112.75,32.13
1736,襄樊,宜城,112.25,31.72
1737,鄂州,鄂州,114.88,30.4
1741,荆门,荆门,112.2,31.03
1746,荆门,钟祥,112.58,31.17
1747,孝感,孝感,113.92,30.93
1752,孝感,应城,113.57,30.95
1753,孝感,安陆,113.68,31.27
1754,孝感,汉川,113.83,30.65
1755,荆州,荆州,112.23,30.33
1761,荆州,石首,112.4,29.73
1762,荆州,洪湖,113.45,29.8
1763,荆州,松滋,111.77,30.18
1764,黄冈,黄冈,114.87,30.45
1773,黄冈,麻城,115.03,31.18
1774,黄冈,武穴,115.55,29.85
1775,咸宁,咸宁,114.32,29.85
1781,咸宁,赤壁,113.88,29.72
1782,随州,随州,113.37,31.72
1784,随州,广水,113.82,31.62
1794,仙桃,仙桃,113.45,30.37
1795,仙桃,潜江,112.88,30.42
1796,仙桃,天门,113.17,30.67
1798,长沙,长沙,112.93,28.23
1807,长沙,浏阳,113.63,28.15
1808,株洲,株洲,113.13,27.83
1817,株洲,醴陵,113.48,27.67
1818,湘潭,湘潭,112.93,27.83
1822,湘潭,湘乡,112.53,27.73
1823,湘潭,韶山,112.52,27.93
1824,衡阳,衡阳,112.57,26.9
1835,衡阳,耒阳,112.85,26.42
1836,衡阳,常宁,112.38,26.42
1837,邵阳,邵阳,111.47,27.25
1849,邵阳,武冈,110.63,26.73
1850,岳阳,岳阳,113.12,29.37
1858,岳阳,汨罗,113.08,28.8
1859,岳阳,临湘,113.47,29.48
1860,常德,常德,111.68,29.05
1869,常德,津,111.88,29.62
1870,张家界,张家界,110.47,29.13
1875,益阳,益阳,112.32,28.6
1881,益阳,沅江,112.38,28.85
1882,郴州,郴州,113.02,25.78
1893,郴州,资兴,113.23,25.98
1894,永州,永州,111.62,26.43
1905,怀化,怀化,110.0,27.57
1917,怀化,洪江,109.82,27.2
1918,娄底,娄底,112.0,27.73
1922,娄底,冷水江,111.43,27.68
1923,娄底,涟源,111.67,27.7
1933,广州,广州,113.27,23.13
1942,广州,增城,113.83,23.3
